,"AVOID:Direct Means Objective (reduce source, change condition) ",CONTROL / TRAP /Mitigate : Indirect Means Objective (mitigate disease impact),SPECIFIC ACTION,Increase Evapotranspiration,Decrease Runoff,Increase Infiltration ,Increase Interflow ,Increase  Surface Water Storage,Increase Groundwater Recharge,Stabilize Bed and Bank ,Improve Boundary Condition,Decrease Stream /Wave Energy,Increase Longitudinal Connectivity,Increase Dissolved Oxygen,Increase Nesting/  Rearing Habitat,Increase Pool Riffle Habitat,Connect Mosaic of Habitat Types,Increase Refugia,Increase Spawning/Breeding Habitat,Increase  Species Dispersal,Increase Species Diversity,Improve Soil Health/Increase  Organic Matter,Improve Vegetative Vigor ,Increase Rate of Photosynthesis ,Increase Carbon Sequesetration,Increase Connectivity of Upland Habitat ,Stablize  Sediment In Channel ,Decrease Delivery of In Channel Sediment,Decrease Sediment from Hillslopes ,Intercept Hillslope Sediment,Decrease Sediment from  Upland ,Intercept   Overland Flow Sediment,Decrease source of chemical-bacterial contaminants,Decrease delivery of chemical-bacterial contaminants ,Decrease Chemicals  in Solution,Decrease Sources of Nitrogen,Decrease Delivery of Nitrogen to Water,Decrease Sources of Phosphorus,Decrease Delivery of Phosphorus to Water,
_HYDROLOGY,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,,1,,1,
_GEOMORPHOLOGY,,,,,,,,,1,1,1,1,1,,,1,,,,,,1,,,1,,1,1,1,1,1,1,,,,,,,1,
_BIOLOGY,,,,1,1,1,,1,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,
_CONNECTIVITY,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,1,,1,,1,,,,1,,,,,1,
_WATER QUALITY,,,,,,,,,,1,1,1,,1,,,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,
HYDROLOGY,,,Ag BMP (number) or Action Name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perennial Cover,"increase perennial vegetation, perennial crops",,Conservation Cover (327)  ,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,,1,,1,1
,,Grassed Waterways,Grassed Waterways (412) ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,-1
,,"Cover crops, Winter annuals",Conservation Crop Rotation (328) Cover Crops (340),1,1,1,0,0,0,0,0,0,0,0,1,,1,1,,1,,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,-1
Impervious Cover,decrease imperviousness,,avoid use/reduce impervious surface,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
